,평점,일시,감상평
71,10,2020.02.14 09:23,어릴적 내 인생소설...원작과 왜 다르지? 하는 분들은 작은아씨들 2편을 안 읽으신 것...원작을 각색했을까 걱정하는 마음으로 봤는데 다행히 원작에 충실하면서도 세련되게 연출해서 너무 좋았다...중간중간 자매들의 정신없는 수다 넘 현실적~~나도 자매가 셋인데 공감가고 뭉클한 장면이 넘 많다 화면도 예쁘고~~작은아씨들 2편이 있는데 우리가 많이 읽는 건 유년기를 다룬 1편이다. 비룡소클래식 작은아씨들2 에 자매들의 결혼이 나온다(1편 만큼 재미있지는 않지만 조와 로리와 에이미의 결말이 여기서 나오며 독자들의 대체 조가 누구랑 결혼하냐는 미칠듯한 궁금증 해소).  영화는 1편과 2편을 오가면서...그러니까 유년기랑 20대를 왔다갔다 연출을 한다 처음엔 좀 정신없었지만 곧 적응이 되었다. 어릴때는 조의 선택이 이해가 되지 않았는데 커서 보니까 이해가 된다. 연애는 재미있는 남자와 하더라도 결혼은 믿음직한 남자랑 하고 싶었던 게 아닐까. 자신은 에이미처럼 소년같은 남자를 살살 구슬러가며 잘 챙겨서 사람 만들어가며 살만한 성격이 아니라는 걸 알았던 거지 ㅎㅎㅎ 
72,7,2020.02.13 23:02,"좋은영화임에 틀림없지만 평점이 이리 높은지 저는 모르겠네요 ... 전체적으로 전개가 너무 무난하고 지루한감이 있고, 캐스팅도 썩 동의하기어렵네요. 예전 위노나 라이더 버전이 더 나아보였습니다."
73,2,2020.02.13 23:38,너무 지루하고 산만했음.
74,9,2020.02.14 18:07,"연출, 스토리, 영상 다 좋은데 아쉬운 1점은 캐스팅... 에이미 역 캐스팅이 조금 아쉬움으로 남음... 막내가 셋째 같은 느낌. 좀 더 완벽할 수 있었을 것 같은데..."
75,10,2020.02.13 08:14,"행복했다가 울었다가, 대조 되는 기억이 너무 아팠다. 믿기지 않아 내 유년 시절이 끝났다니. 찬란했던 기억들은 오히려 현재를 더 괴롭게 만들지도 모른다. 그러나 우리는 그 기억들 덕분에 살아간다."
76,6,2020.02.12 22:54,아쉬움이 남는 영화
77,10,2020.02.13 01:13,"티모시샬라메의 미모는 미쳤고 내 심장을 강타했다. 조에게 프러포즈하는 장면에서 조가 뭐라하든 계속 ""I love you, joe."" 이거 심장 탕탕탕탕"
78,10,2020.02.12 21:31,에이미한테 모라하면안됨ㅇㅇ조가 선택한일이였지..
79,10,2020.02.15 02:14,"“I’ve had lots of troubles, so I write jolly tales.”-Louisa May Alcott- [“고난이 많았기에 즐거운 이야기를 쓴다.”-루이자 메이 올컷-]150년이 된 작품이 아직까지 많은 여성들에게 공감을 주고 있다는 아이러니.결혼은 필요없으나 외롭다 그리고 사랑하고, 또 사랑받고 싶다.세상의 모든 작은아씨들이 보고 느꼈으면 하는 영화. "
80,10,2020.02.17 00:34,"“I’ve had lots of troubles, so I write jolly tales.”-Louisa May Alcott- [“고난이 많았기에 즐거운 이야기를 쓴다.”-루이자 메이 올컷-]150년이 된 작품이 아직까지 많은 여성들에게 공감을 주고 있다는 아이러니.결혼은 필요없으나 외롭다 그리고 사랑하고, 또 사랑받고 싶다.세상의 모든 작은아씨들이 보고 느꼈으면 하는 영화. "
81,9,2020.02.14 11:54,감동ㅠㅠㅠ사랑은 타이밍이다
82,10,2020.02.12 12:36,인간미가 느끼지는 영화였어요~
83,10,2020.02.12 22:45,보고 집가는데 내가 허접해보임
84,1,2020.02.13 14:20,졸려디지는줄....
