,평점,일시,감상평
2005,10,2020.02.12 22:49,
2006,10,2020.02.12 22:47,과거와 현재를 나란히 배치하며 잔잔하면서도 깊은 울림을 선사하는 작품.
2007,10,2020.02.12 22:38,최근 봤던 영화중에 가장 감동적이고 주인공들 너무 예쁘다
2008,10,2020.02.12 22:36,티모시 샬라메는 바람둥이였나
2009,8,2020.02.12 22:32,인생은 타이밍이다..
2010,10,2020.02.12 22:32,영화가 너무 예쁘다 ..
2011,10,2020.02.12 19:51,
2012,10,2020.02.12 19:50,초등학생때 본 작은아씨들을 성인이 되서 영화로 보니 더 감명이 깊었습니다.
2013,10,2020.02.12 19:47,
2014,10,2020.02.12 19:13,정말 좋은 작품이란 이런 것. 어렸을때 읽었던 소설보다 훨씬 좋았다. 정말 영화 잘 만들었다.
2015,10,2020.02.12 19:07,
2016,9,2020.02.12 19:06,"연기, 내용, 메시지 다 좋다! 그레타 거윅 감독 진짜 넘 감사합니다~!!"
2017,10,2020.02.12 19:01,재미있어요 그리고 스토리 전개가 너무 빨라 과거 현재 따라가는라 힘들었어요.
2018,10,2020.02.12 18:58,어릴때 세계문학전집에서 보고 보러왔는데 생각보다 좋습니다! 힐링도 되고!
2019,10,2020.02.12 18:50,제가 작은아씨들을 좋아해서 봤는데 너무 재미있어요!진정한 사랑을 알게된것같아요 정말 시간가는줄모르고 봤어요~
2020,10,2020.02.12 16:12,
2021,10,2020.02.12 16:01,
2022,10,2020.02.12 16:00,2020년 아주 좋은 영화 !
2023,10,2020.05.02 21:05,"사람은 각각이 너무 달라서참 각자의 선택이 어떤인생을 살게할지,여자의 삶의여정을 잘 보여주는거같습니다.한가족의 전체 해피엔딩이라 현실적이진 않은거 빼곤모든면에서 훌륭한영화입니다"
2024,8,2020.04.19 19:45,에이미는 정말 미스캐스팅이었던것 같아요.. ㅠ
2025,10,2020.03.31 12:08,당시의 시대상과 주인공들의 개성을 잘 살려주는 영상미와 연줄치 보는 내내 눈이 너무 즐거웠다. 문학을 좋아하는 사람이라면 모두가 좋아할 만한 영화라고 생각한다. 크게 울컥하거나 감동이 있는 장면은 없었지만 영화와 문학과 꿈을 사랑하는 사람이라면 꼭 봐야 할 영화로 추천한다. 
2026,10,2020.03.25 03:35,엠마왓슨이 남편한테 실크 말하는 씬에서 울컥했다
2027,9,2020.03.24 22:34,아름답다. 모두가. 미워하기 시간이 아까운 건 자매 뿐 아니다.
2028,10,2020.03.24 22:10,잔잔하고 조금은 슬픈.10점
2029,10,2020.03.24 21:05,
2030,10,2020.03.24 13:52,최고다 연출도 연기도 스토리도 영상미도 OST까지 너무 완벽하다
2031,6,2020.03.23 22:54,94년도 작은아씨들이 더 재밌음
2032,10,2020.03.23 21:11,영화의 배경이 너무 이쁘고 스토리가 이쁨감동적이다^^
2033,10,2020.03.23 15:42,이렇게 오래된 이야기에 아직도 우리가 공감할 수 있다는 건 여성의 삶이 그만큼 바뀌지 않았다는 거 아닐까.. 그저 자매들이 행복했으면 하는 마음.
2034,10,2020.03.23 01:08,이렇게 오래된 이야기에 아직도 우리가 공감할 수 있다는 건 여성의 삶이 그만큼 바뀌지 않았다는 거 아닐까.. 그저 자매들이 행복했으면 하는 마음.
2035,10,2020.03.23 01:05,자극적이지 않게 그렇지만 재밌게 담담하게 힐링받은 영화
2036,8,2020.03.22 06:43,다 좋은데 캐스팅이 엉망임 ㅠㅠ조 시얼샤로넌 빼고는 캐스팅된 배우들 다 안어울리고 엉망임;
2037,10,2020.03.21 23:11,시얼사 로넌 의 연기력에 보는 내내 펑펑 울었습니다. 잔잔한 감동과 인생의 희노애락을 주위 친구들과 자녀들과 함께하시길 추천합니다.
2038,10,2020.03.21 22:32,우리의 유년기에 바치는 소곡.
2039,6,2020.03.21 21:08,배우들 연기는 진짜 좋았음 조와 로리의 결말이 납득이 안됨.. 이해가안가 책도 읽었지만.. ㅠㅠ
2040,8,2020.03.21 20:02,조를 보면 어톤먼트가 생각나고 에이미를 보면 클로이 모레츠가 생각난다. 조 연기 정말 잘한다.
2041,8,2020.03.21 19:22,연대 속에 피어난 만남과 헤어짐에 관한 소중하고 행복하며 가슴 따뜻한 이야기.
2042,4,2020.03.21 08:58,"각자의 주어진 인생을 단단히 움켜진 네 자매 이야기와 재미지게 이를 잘 연출한 감독. 원작을 읽어봐야겠지만, 각 캐릭터 성격의 발달 과정이 생략, 축약된 듯해 다소 아쉬움. 더 장편이었어도 괜찮았을 것. 연륜을 보여주는 엄마역의 로라던. 굳이 흠이라면 겉도는 모든 남자 캐릭터들 "
2043,5,2020.03.21 00:49,아니 베스를 왜 저렇게 캐스팅 한거야? 원작에서 못생겼다는 조는 이쁜데 베스만 못생겼네 ;;; 교차편집은 왜 했대? 원작 모르는 사람은 헷갈릴 듯..
2044,2,2020.03.21 00:38,결말이 너무 후진걸..~
2045,10,2020.03.20 20:10,나는 나를 선택했는가? 아니면 타인의 시선을 선택했는가?
2046,10,2020.03.19 23:24,와.... 지루할 틈을 안주네요.. 남자인데 저런삶을 살아보고 싶다는...
2047,10,2020.03.19 22:14,4자매의 일생으로 많은것을 이야기 해주는 영화.
2048,10,2020.03.19 16:05,시얼샤 빛이난다...
2049,10,2020.03.19 15:17,"진부하지만 변하지않능, 가족 사랑 이야기"
2050,5,2020.03.19 11:08,"진부하지만 변하지않능, 가족 사랑 이야기"
2051,10,2020.03.19 02:09,그냥 참 기분 좋아지는 영화였다. 1년에 한번씩 꺼내어 보고 싶은 영화
2052,8,2020.03.18 23:30,그냥 일상적인 몇몇 장면들에서 눈물이 터져나오더라구요.
2053,9,2020.03.18 23:24,별 기대를 하지않고 봤는데 정말 재밌었어요
2054,6,2020.03.17 16:15,"재미있었냐?라고 물어보신다면....예 재미는 있었습니다.그런데요... 이 영화를 치과에 비유하자면... (과장이 조금 있습니다.)처음에는 매우 친절하게 해주고 모든 걸 친절하고 부드럽게 잘해 줍니다. 그리고 이제는 이를 뽑고 거즈 물고 가기는 일만 남았습니다. 자... 그런데 이를 뽑기 전에... 전신 마취를..? 그러더니 맨주먹으로 이가 빠지라고 무자비하게 때립니다. 아.. 물론 전신 마취가 돼있어서 아프지는 않지만요. 그리고 이가 안 빠지자 펜치로 뽑는군요... 물론 아주 잘 빠졌으며, 아프지도 않았습니다.이게 바로 이 영화가 페미니즘을 표현하는 방식을 이를 뽑는 걸로 비유한 것입니다. 사실 7점을 주려 하였으나 배신감 때문에 6점을 주었습니다. 그리고.. 제가 원작을 안 봐서 그런데 스토리가 원래 이렇게 암 걸리는 내용인가요?근데요... 저는 백두산 보느니 이걸 보겠습니다. "
2055,10,2020.03.16 22:44,"항상 모든 이야기의 끝은 결혼, 사랑이였다.하지만 모든 여성들은 재능과 야망을 갖고 있으며, 이 열정들을 &#39;사랑&#39;이라는 단어로 인해 포기하기에는 너무 억울하다고 생각한다.우리에게 필요했던건 그저 더 다양한 여성들의 모습이 아니였을까 "
2056,6,2020.03.16 11:58,"항상 모든 이야기의 끝은 결혼, 사랑이였다.하지만 모든 여성들은 재능과 야망을 갖고 있으며, 이 열정들을 &#39;사랑&#39;이라는 단어로 인해 포기하기에는 너무 억울하다고 생각한다.우리에게 필요했던건 그저 더 다양한 여성들의 모습이 아니였을까 "
2057,10,2020.03.16 00:58,명작 of 명작
2058,9,2020.03.15 01:39,명작 of 명작
2059,4,2020.03.14 21:25,원작을 보고 너무 기대하며 봤는데 정신없이 어지러진 방에서 보는느낌이었어요.집에서 다운받아 봤는데 스킵이 더 많았어요
2060,5,2020.03.14 03:06,예쁜 동네에서 예쁘게들 살았네~
2061,10,2020.03.14 00:21,이미 내용다 아는건데도 웃긴데서웃고 슬픈데서 울고 암튼 재밌엇어요!!
2062,10,2020.03.13 23:26,
2063,10,2020.03.13 20:43,
2064,10,2020.03.13 20:21,
2065,10,2020.03.13 20:12,
2066,10,2020.03.13 18:50,생각없이 봤다가 생각이 많이지는 영화
2067,10,2020.03.13 17:16,생각없이 봤다가 생각이 많이지는 영화
2068,8,2020.03.13 16:53,"여배우가 놀라운 감수성으로 각본과 연출을 도맡아 훌륭한 영화적 감성을 선사한다. 소장하고 또 보며 감수성에 젖고싶다. 그레타 거윅, 거장의 싹이 보인다"
2069,10,2020.03.13 16:35,
2070,3,2020.03.13 02:51,"원작을 아는 사람들에게는 반가운 작품이었겠으나 원작을 모르고 본 사람들에겐 다소 불친절한 영화였음에 틀림없다. 박평식 평론가가 이렇게 별점을 후하게 줄만한 작품인가 싶기도 하다. 옛날 그 시대 감성을 잘 살렸고, 배우들의 연기또한 좋았지만, 과거와 현재를 교차편집으로 불친절하게 휙휙 넘어가고, 캐릭터간의 감정들이 잘 연결되지 않는 느낌이었다. 특히 남녀간의 감정을. 그것도 한 둘이 아닌 캐릭터들의 감정을 한 영화에 담으려다보니 좀 부족한 부분이 있지 않았나 싶다. 아니, 매우 부족했다. 부족한 부분이 많은 영화일지라도 사람들의 평점이 좋은 것은 배우들의 연기력과 그 시대 감성. 그것뿐이 이유라고 생각한다. "
2071,10,2020.03.12 18:34,"최고의영화 또보고싶다,,,"
2072,10,2020.03.12 00:34,정말 잘 만들었다. 작은아씨들 원작을 알고 보면 전개가 헷갈리지 않을 것이다. 감독의 탁월한 연출력에 반했다. 신선하고 감동적이다. 참 재미있게 봤다.
2073,10,2020.03.11 21:20,너무 감동적으로 재미있게 봤어요
2074,10,2020.03.11 19:00,"이런 영화는 무조건 봐줘야하죠. 좋은 스토리 그리고 영상미가 깊은 울림을 주네요. 젊은 층 뿐 아니라, 중년에겐 좋은 선택이 될꺼예요."
2075,10,2020.03.11 18:09,"배우들의 연기와 분위기, 그리고 연출.뭐 하나 빠지지 않게 소설 &lt;Little Women&gt;을 영상화 하신 것 같아요.비록 코로나19로 집에서 유료결제 해서 봤지만,영화관에서 봐도 티켓값이 아깝지 않을 영화, 그 자체였습니다. "
2076,10,2020.03.11 13:27,지나간 추억이 되어버린 아름다운 유년을 그리워하는 어른들을 위한 동화
2077,7,2020.03.10 02:59,티모시 살라메는 진짜 소설에서 튀어나온것같다
2078,4,2020.03.09 14:49,많이 기대하고 봐서 그런가 실망감도 큰듯 일단 영화 중간중간에 조가 너무 답답했음 그리고 내용이 좀 지루했었음 좀 많이 실망함
2079,10,2020.03.09 04:56,어바웃타임이 생각나는 우리가 사는 인생을 담은 너무 이쁜영화 입니다.연기자들의 매력 그 시대의 옷 영화와 너무 잘 어울리는 피아노곡 영상미 수 많은 리메이크를 낳은 스토리 제일 마음에 드는 부분은 다른 영화는 영화를 볼때 이질감을 느낄정도로 사회문제를 영화에 주입하는데 이 영화는 자연스럽게 문제를 풀어나가는 전개에 감독을 존경하게 되었네욤. 
2080,10,2020.03.09 01:19,공짜표 소진하려고 피로를 무릅쓰고 억지로 예매했는데.. 인생영화였다.. 전반적으로 잔잔한 분위기지만 두시간반의 런닝타임이 순삭이었다.. 조의 행복이 영원하길
2081,10,2020.03.07 13:39,줄거리 1도 모르는 20대 남자가 봐도 재미있습니당
2082,10,2020.03.07 13:16,재밌게 잘 봤습니다  한번더 볼까
2083,10,2020.03.07 05:25,올해 최고의 영화
2084,10,2020.03.07 02:34,3월이지만 올해의 영화 땅땅
2085,9,2020.03.06 23:44,"속편을 읽지 않은 채로 봤는데 결말이 믿기지않아 나오자마자 네이버에 속편 줄거리를 검색해야했어요..ㅠㅠ 제가 읽었던 작은아씨들의 결말은 반쯤 열린채로 로리×조 였단말이죠.. 속편 내용을 모르면 점점 내용을 의심하고 내 두 눈을, 두 귀를 의심하며 보게될거에요..ㅠㅠ 작가님 미워요..ㅠㅠ 너무 현실적이라 안타까워요.원작은 되도록이면 읽고 오시는걸 추천해요. 과거-현재 전개가 반복되는데 원작 여러번 읽은 저도 약간 혼란스러울 정도의 빠른 회전입니다ㅠㅠ 정신 바짝차리고 보세요!여담으로 프렌즈 시즌3 13화에 레이첼과 조이가 작은아씨들로 싸우는 내용이 나옵니다. 재밌으니 영화 끝나고 보세요. 속편 스토리로 충격받은 제 마음을 조이가 이해해줄겁니다. "
2086,10,2020.03.06 06:15,완벽에 가까운 영화. 미쳤다.
2087,10,2020.03.06 02:57,어릴때 읽었던 소설내용이 잘 기억이안나서 어떨까싶었는데 몰입해서 잘 봤습니다 잔잔한 감동이..ㅠㅠ
2088,10,2020.03.06 00:05,두번 세번 보고싶은 영화였어요.. 티모시 보러 갔다가 티모시는 물론이고 조 연기한 배우분한테 반하고왔습니다ㅠㅠ
2089,10,2020.03.05 15:43,2020년 최고의 영화. 눈물이 주륵주륵...
2090,10,2020.03.05 13:18,"잠을 못자고 가서 초반 몇 분을 살짝 졸다가 놓쳤지만, 자세 다잡고 차근차근 따라가다보니 몰입에 어려움이 없었습니다. 흔히 좋은 게 좋은 거니까 그 사람 밥그릇에 맞게 몫이 주워지고 잘 풀려 나갔으면 좋겠단 생각을 했는데, 얼마나 과정에 대한 어려움없이 결과를 갈구하는지 제 자신을 돌아보게 됐습니다. 전체적으로 캐릭터가 미운 구석 없고, 한 몸처럼 유기적인 모습이 유년 시절을 더 따뜻하게 만들어준 거 같아요.특히 우리 아씨들 모두 귀엽고 사랑스러웠지만, 왜 이리 에이미의 목소리가 귓가에 맴도는지 모르겠습니다.티모시와 대고모님의 저택에서 그림 연습을 하는 에이미가 나눈 대화에서 그녀의 꿈틀대는 분노의 깃과 울분이 느껴져서 좋았습니다.그 시절 더 답답하게 느껴졌을 여성이 사랑과 결혼을 받아들여야하는 이유. 경제적인 거래가 돼버린 감정간의 공유가 참 가슴 아프게 느껴졌네요. "
2091,10,2020.03.05 12:39,어릴적 책으로 재밌게읽고결혼 후 다시 영화로 보게 되었는데..새삼 또 감동이 다르네요ㅎㅎㅎㅎ! 코로나 때문에 열에 혼자 앉아 영화에 집중이더욱 더 ..감동도 더욱 더 ..마음이 따뜻해지는 영화!
2092,10,2020.03.05 10:35,"너무너무 보고싶던 영화 작은아씨들!!!!모두가 아는 명작이니 내용은 말할것도 없고 아카데미 의상상을 받을만큼 너무 예쁜 의상들과 소품, 배경, 영상미도 예술이다ㅠㅠ레이스,리본,꽃 등등이 가득한 빈티지 느낌 가득~하나하나 너무나 소녀감성 취향저격 이어서 영상 보는것만으로도 행복기대를 많이 했는데도 기대 이상으로 좋았음각기 다른 매력의 배우들의 명연기와 대사도 너무 좋았고^^ 한마디로 너무나 아름다운 명작!!! 오랫만에 두번 보고 싶은 영화!아트북도 소장하고싶다!! "
2093,10,2020.03.05 09:11,"영화에서 나오는 것처럼 우리가족이 네자매여서 일까,  가족들끼리 모여서 투닥거리고 시끄럽게 수다 떠는 장면은 우리가족을 보는것같아서 좋았다."
2094,10,2020.03.05 08:57,
2095,10,2020.03.05 01:46,나도 저렇게 언제까지나 작은 아씨들 이고 싶다.
2096,10,2020.03.05 01:23,보고 나서 마음이 따뜻해지는 기분이였어요
2097,10,2020.03.05 01:13,
2098,10,2020.03.05 00:09,
2099,10,2020.03.04 23:48,"나이가 들어가면 슬플 줄만 알았는데, 이런 영화가 재밌다는 사실을 알면서 기쁘기도 하다 참 인생은 여러모로 아이러니"
2100,10,2020.03.04 22:57,책을 다시 읽고 가서 다행이었던듯. 안그랬음 좀 헷갈렸을 거 같다. 영화 형식이. 그럼에도 불구하고.. 왜 자꾸 눈물이...;;; 감동 그 자체 ㅎ
2101,10,2020.03.04 20:46,잔잔하고 자극적이지 않은 영화 보고 싶어서 원작 소설 이야기도 모른채 봤음. 초반엔 다소 지루하고 집중이 안 됐지만 감동적이고 여러 생각이 들게 한 영화이다!
2102,10,2020.03.04 20:42,
2103,10,2020.03.04 20:12,<레이디버드>에 대한 의리로 봤다. 거윅+로넌+살라메 조합 ㅅㅌㅊ
2104,10,2020.03.04 19:28,
2105,10,2020.03.04 18:54,
2106,9,2020.03.04 17:59,"걸캅스같은 웃기지도 않고 페미니즘의 정의를 욕보이는 영화보단, 이런게 훨씬 도움된다"
2107,10,2020.03.04 17:57,
2108,10,2020.03.04 16:07,클래식의 멋 현대에도 따스했습니다.
2109,10,2020.03.04 15:39,
2110,10,2020.03.04 14:05,사랑이 다시한번 피어오르는 영화설렜습니다...ㅎㅎ
2111,9,2020.03.04 12:51,소소한 자매들의 우애가 느껴지는 뭉클한 스토리. 간만에 가슴이 따뜻해지는 기분을 느낄 수 있었습니다. 겨울에 알맞는 따스한 정과 우애를 느끼고 싶으시다면 보러가세요~
2112,10,2020.03.04 08:03,
2113,10,2020.03.04 07:53,"큰 감동, 영상미,  큰 인생에 대해서 생각해보게하고, 나 자신과 다양한 인간군상에 대해서도 생각해보게 된다"
2114,10,2020.03.04 06:55,어떻게 보느냐에 따라 주인공이 다르다
2115,10,2020.03.04 02:09,
2116,9,2020.03.04 00:05,보고 바로 책샀습니다
2117,10,2020.03.03 23:19,가슴 따뜻하다 못해 너무 짜릿한영화
2118,9,2020.03.03 22:37,
2119,10,2020.03.03 22:35,우리들의 갖가지 추억과 감성을 소환했다...모두가 너무예뻤고 이렇게 예쁘게 살았으면 좋겠다
2120,9,2020.03.03 22:14,책보다 더 생동감이 넘치는 영화
2121,9,2020.03.03 21:59,잔잔하지만 삶이 잘 녹아 있는 영화. 내 삶의 주인으로써 사는 조의 멋진 모습.
2122,10,2020.03.03 19:43,
2123,10,2020.03.03 19:10,스토리 연기 연출 영상미 다 갖춘 영화 영상 분위기가 너무 예쁨 ㅜㅜㅜㅜ 진짜 힐링 영화 + 즙짜기 영화 조앤로리 너무 사랑스럽고 잘생기고 예쁘고 멋지구ㅜㅜㅜㅜ사랑해
2124,9,2020.03.03 16:52,여성을 잘 표현한 가족영화
2125,10,2020.03.03 13:50,
2126,9,2020.03.03 10:36,
2127,7,2020.03.03 10:28,"영상미로 가득 채워져 있고, 고전 느낌이 나는 옷들로 채워져 있어서 눈이 즐거웠던 영화 엠마왓슨은 언제 봐도 예쁘네요. 책으로 읽었던 조는, 조금 더 명량하면서 밝은 이미지인 사고뭉치라고 생각했는데 생각보다 더 성숙한 이미지라서 제 생각과는 좀 다르게 느껴졌어요. 러닝타임이 꽤나 긴 편이라 보고 있다 보면 조금 지루해져서 좀 더 짧아도 괜찮지 않았나 싶어요. 예쁘고 동화 같은 영화였어요 "
2128,10,2020.03.03 08:42,
2129,10,2020.03.03 03:31,올해의 영화를 벌써 봐 버렸다
2130,10,2020.03.03 02:46,여성분들 꼭 보세요. 추천드립니다.
2131,10,2020.03.03 01:28,"우리네의 이야기라 극중으로 더 빠져들게 되는, 보석같은 경험"
2132,10,2020.03.03 01:21,
2133,9,2020.03.03 00:27,"조와 테디가 이어지는 순간을 남몰래 기다리던 내게 영화가 내민 선물같은 결말. 모든 캐릭터의 결이 단번에 포착될 때, 기대를 빗겨간단 게 이리도 짜릿한 일이었나 곱씹어보았다."
2134,10,2020.03.02 20:46,세상의 모든 작은 아씨들에게 바치는 당차고 따뜻한 영화.
2135,10,2020.03.02 19:35,"어릴 적 닳도록 읽었던 동화, 그 감동 그대로. 또 보고 싶네요."
2136,10,2020.03.02 19:03,스토리와 대사들이 좋았고 배우들의 연기들도 훌륭했다
2137,8,2020.03.02 18:57,원작내용 알고있어서 재미없을줄 알았는데 재밌게 잘 봤어욥
2138,10,2020.03.02 18:11,기대하고 봤는데 그 이상~
2139,10,2020.03.02 17:25,책 읽고 가시는 거 추천 드려요. 과거 현재가 섞여서 나옴
2140,9,2020.03.02 16:22,
2141,10,2020.03.02 15:17,여성의 삶은 그 때나 지금이나 크게 달라지지 않았네요
2142,10,2020.03.02 12:16,돌아오는 오천원 오백원 같은김경호 금지된 사랑아이러니 에보니 아이보리리빙 그린 하모니아이비 브리즈 브릿지
2143,10,2020.03.02 10:30,지친분들에게 희망을~~
2144,10,2020.03.02 01:17,연기도 끝내주고 몰입도도 좋고 카메라 구도도 멋지고 영상미도 뛰어나고 그 순간의 알맞는 음악까지.. 최고에요
2145,9,2020.03.02 00:41,의상.. 아직도 헤어나오지 못하는 중...
2146,9,2020.03.01 23:02,플로렌스 퓨 진짜 사랑하는 배우 등극했다 마스크 너무 좋고 목소리도 너무 좋다 미쳤다 사랑해
2147,9,2020.03.01 20:14,
2148,9,2020.03.01 19:30,역시 고전은 옳다! 기존의 스토리와 조금은 색다른 접근이 좋았어요~^^
2149,10,2020.03.01 02:24,"관념과 편견에 지긋지긋해 하면서도 외롭다고 했던건, 결국 여자는 남자의 사랑을 받고 싶어한다는 이야기가 아니다. 인정과 존경, 연대와 같은 여러 종류의 사랑이 있지만, 이 당시 여자란 그저 연애와 결혼에 국한된 &#39;그런 사랑&#39;만을 받을 수 있는 존재였기 때문이다. 때문에 여자에게 결혼없는 삶은 경제적으로도 관계적으로도 궁핍해질 수 밖에 없다. "
2150,8,2020.03.01 01:39,불합리한 사회적여건 속에서 치열한 삶의 애환을 겪음에도 불구하고  꿋꿋히 자신의 이야기를 고결하게 펼쳐나가는 작은 아가씨들은 누구보다도 크고 거대하게 보였다.
2151,8,2020.03.01 00:48,더 포스트의 메릴 스트립은 여기서도 존재감이 장난아니구나
2152,9,2020.02.29 21:07,결혼과 돈벌이. 일자리는 여전히 여자들에게 화두다.캬 코로나맥주맛
2153,8,2020.02.29 19:05,
2154,8,2020.02.29 16:35,어느순간부터 옆에서 먹는 팝콘의 그 부스럭거리는 소리가 귀에 거슬린다
2155,10,2020.02.29 13:53,
2156,8,2020.02.29 13:12,전체적으로 따뜻하고 사랑스러워요.다같이 오순도순 앉아 쿠키를 나눠먹는 느낌...다양한 복식이 나와서 눈도 즐겁네요.
2157,9,2020.02.29 11:50,"감수성을 자극하는, 잔잔하고 기분좋은 영화였습니다. 재밌게봤어요 :)"
2158,8,2020.02.28 19:04,블랙버스터가 잘 안터지는 요즘 과거 영화 들춰보고 있는데 서정적인 자연미가 너무 잘 담겨진 이 영화가 생각나서 한자 적습니다.
2159,8,2020.02.28 18:30,"내가 저 시대를 산 것도 아닌데 향수병을 느낄 정도. 조잘조잘 재잘재잘 자매들의 사랑스러운 유년시절을 너무 잘 그려냄. 영상미, 의상, 연기 모두 좋다. 시얼샤 로넌 팬 됐음... 조와 로리는 정말 안타깝다 ㅠㅠ"
2160,8,2020.02.28 15:12,"어릴적에도 만화로 봤을때도 조가 좋았는데,,,지금 영화로 봐도 조가 멋지다."
2161,10,2020.02.28 13:22,
2162,10,2020.02.28 11:01,간만에 가슴 따뜻한 느낌을 받은 영화였습니다.
2163,8,2020.02.27 18:08,"잔잔하고 부드럽게 그리고 따듯하게 보고왔어요성별에 따른 역할과 강요들이 보였고따듯함, 사랑, 외로움, 빈곤 다양한 감정이 느껴지는 영화였어요  다만 전개가 조금은 지루하게 만들지 않았나 싶기도해요"
2164,10,2020.02.27 12:15,한 캐릭터 한 캐릭터 사랑스럽고 저런 사랑스러운 가족이 있을까 싶었음 ㅠㅠ 저 시기에 옷들도 예쁘구나.. 여러모로 눈과 마음이 행복한 시간이었음언제 보느냐에 따라 지루할수 있으니 오후쯤이나 더 늦은 시간에 보는걸 추천~~ 
2165,10,2020.02.27 11:39,
2166,9,2020.02.27 09:47,"삶은 계속됐고, 되고, 될꺼고..."
2167,10,2020.02.27 06:27,책에서는 느낄 수 없었던 표정 연기와 장소 특유의 분위기를 느낄 수 있었던 건 너무 좋았지만 결말은 역시 늘 나를 실망시켰다
2168,10,2020.02.27 03:04,
2169,10,2020.02.27 01:14,정말 오랫동안 여운이 남는 작품. 감사합니다
2170,9,2020.02.27 00:16,그냥 보고 나오니 마음이 따뜻하고 뭔가 벅차 오르는데 설명을 할수가없다... 스토리 부분 제외하고도 연기구멍도 없어서 너무 좋았고 영상미도 좋아서.. 세상 만족하며 영화관 나왔습니당
2171,10,2020.02.27 00:13,최고다
2172,8,2020.02.26 23:29,역대 최고의 작은 아씨들. 연출도 구성도 연기도 볼거리도 다 만족스러웠습니다.
2173,10,2020.02.26 23:07,엄마랑 같이 봤어요 너무 좋은 시간이었어요
2174,10,2020.02.26 22:44,"생각하고 웃고, 울고 되는 영화였다."
2175,10,2020.02.26 21:36,"정말 감동했고, 너무 몰입해서 영화 끝나고 힘들었네요 제가 본 영화중에 가장 감동적인 이야기였습니다"
2176,9,2020.02.26 21:16,잘 봤습니다. 모두 행복하세요!
2177,10,2020.02.26 20:32,"그레타거윅, 시얼샤 로넌.. 말해뭐해."
2178,7,2020.02.26 19:45,"솔직히 초반에 등장인물 파악을 못했어요 그래서 영화 끝나는 마지막까지 셋째를 막내로 오해하고 봤네요..ㅎ... 등장인물 소개 제대로 했으면 좋았으려만.. 이 점 빼고는 무난하게 봤는데 감동도 없고 재미도 없고 영상미 하나로 영화 봤습니다,, 알바들이 너무 많네요 평점들에.. "
2179,10,2020.02.26 18:45,"이게 진정한 여성 영화지.코로나때문에 볼까말까 엄청 망설이다가 그냥 보러갔는데 이걸 영화관에서 못봤다면 후회할뻔했다여성영화라고 남성 캐릭터를 소홀하거나 , 일부러 낮추지않은 점이 너무나도 좋았다좀 아쉬운점이 있다면 초반엔 좀 ,, 이리저리 되는 느낌이여서 적응하는데에 시간이 걸렸고 마지막 러브라인은 대놓고 너무 아쉬웠다 ....영상미 , 음악 어느 하나 뒤쳐지는것도 없었고특히 에이미 배우가 연기를 진짜 잘하는구나 생각들었다명장면이 너무 많아서 ,, 영화관에서 한번만이라도 더 보고싶다 좀 오래 상영해줬으면 ... "
2180,10,2020.02.26 18:22,이렇게 입체적이고 사랑스러운 작은 아씨들이 듣고싶은 이야기를 들려주다니
2181,9,2020.02.26 17:53,이렇게 입체적이고 사랑스러운 작은 아씨들이 듣고싶은 이야기를 들려주다니
2182,9,2020.02.26 16:59,누구하나 미워할수 없는 캐릭터와 이야기. 오랜만에 따듯한 영화를 봤네요
2183,10,2020.02.26 16:43,정말 대단한 연기력입니다
2184,10,2020.02.26 15:26,잔잔하고... 따뜻한 영화에요. 엄마가 진짜 좋아 하셨어요.  정 많고 순수한 시대였던거 같아요.다만... 로리보다 프레드리히가 훨씬 더 잘생겼으면 하는 개인적인 아쉬움... ㅎㅎㅎ
2185,10,2020.02.26 14:45,"장면 장면 넘어 갈때 현제와 과거에 대비가 아주 인상적였음.자연스럽고, 감각적인 변화로 보는 내내 한순간도 빠짐 없이 몰입할 수 있었음."
2186,10,2020.02.26 11:40,제가 인사이드아웃 이후로 가슴 먹먹하게 극장에서 나오긴 처음이었습니다.
2187,8,2020.02.26 10:40,아주아주 재밌네요~~ 굿굿굿
2188,10,2020.02.26 10:29,미국 남북전쟁 당시의 여러 계층들의 생활을 볼 수있는 서정적인 영화였습니다.
2189,10,2020.02.26 08:38,어떤 천성들은 굽히기엔 너무 고결하고 억누르기엔 너무 드높단다
2190,10,2020.02.26 08:07,내가 알던 고전의 기억을 더 멋지고 빛나게 만들어 주어 기뻤다. 자매간의 다툼 우애 성장. 울고 웃으며 행복하게 본 아름다운 영화이다.
2191,10,2020.02.26 04:40,다시 한번 빛나는 고전의 영화화. 역대 조를 다 한번에 만나고 싶어진다.
2192,9,2020.02.26 02:42,영화에서 전달하고자 하는 바도 잘 와닿고 영상미가 너무ㅠ 의상도 보는 재미가 있음!
2193,10,2020.02.26 02:17,
2194,10,2020.02.26 01:15,[여자들을 위한 주문 맞춤형 일자리]
2195,10,2020.02.26 00:59,"별거 아닌 삶이 이제 별거가 되어 버린걸까요,,? 소소한 것들이 되게 짠하고 감동적이네요. 영화 장면들이 너무 예뻐서 한참을 여행온듯 빠져들어 감상했고, 그 안에 결코 작지 않은 굳센 아씨들의 연기에 대단히 집중하며 영화를 볼 수 있었습니다. "
2196,10,2020.02.26 00:28,조는 더 강해질거다. 조는 똑똑하고 멋진 사람이니까. 보는 내내 기특했다. 조를 포함해서 그 외 나오는 사람들 모두 꼭 행복했으면 좋겠다. 꼭 행복해야해! 그럴 자격이 충분하니까:)
